TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        IS_NULLABLE
TemplateAssignments                                                                                                              CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
TemplateAssignments                                                                                                              Name                                                                                                                             nvarchar                                                                                                                         NO         
TemplateAssignments                                                                                                              Notes                                                                                                                            nvarchar                                                                                                                         YES        
TemplateAssignments                                                                                                              ClientRelationshipId                                                                                                             int                                                                                                                              YES        
User                                                                                                                             UserId                                                                                                                           int                                                                                                                              NO         
User                                                                                                                             Name                                                                                                                             nvarchar                                                                                                                         NO         
User                                                                                                                             IdentityUserId                                                                                                                   nvarchar                                                                                                                         YES        
Versions                                                                                                                         VersionId                                                                                                                        int                                                                                                                              NO         
Versions                                                                                                                         Major                                                                                                                            int                                                                                                                              NO         
Versions                                                                                                                         Minor                                                                                                                            int                                                                                                                              NO         
Versions                                                                                                                         Patch                                                                                                                            int                                                                                                                              NO         
Versions                                                                                                                         BuildNumber                                                                                                                      int                                                                                                                              NO         
Versions                                                                                                                         ReleaseDate                                                                                                                      datetime2                                                                                                                        NO         
Versions                                                                                                                         Description                                                                                                                      nvarchar                                                                                                                         NO         
Versions                                                                                                                         GitCommitHash                                                                                                                    nvarchar                                                                                                                         YES        
Versions                                                                                                                         IsCurrent                                                                                                                        bit                                                                                                                              NO         
Versions                                                                                                                         ReleaseNotes                                                                                                                     nvarchar                                                                                                                         YES        
WhitelistedIps                                                                                                                   Id                                                                                                                               int                                                                                                                              NO         
WhitelistedIps                                                                                                                   IpAddress                                                                                                                        nvarchar                                                                                                                         NO         
WhitelistedIps                                                                                                                   Description                                                                                                                      nvarchar                                                                                                                         YES        
WhitelistedIps                                                                                                                   CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
WhitelistedIps                                                                                                                   CreatedBy                                                                                                                        nvarchar                                                                                                                         YES        
WorkoutExercises                                                                                                                 WorkoutExerciseId                                                                                                                int                                                                                                                              NO         
WorkoutExercises                                                                                                                 WorkoutSessionId                                                                                                                 int                                                                                                                              NO         
WorkoutExercises                                                                                                                 ExerciseTypeId                                                                                                                   int                                                                                                                              NO         
WorkoutExercises                                                                                                                 EquipmentId                                                                                                                      int                                                                                                                              YES        
WorkoutExercises                                                                                                                 SequenceNum                                                                                                                      int                                                                                                                              NO         
WorkoutExercises                                                                                                                 OrderIndex                                                                                                                       int                                                                                                                              NO         
WorkoutExercises                                                                                                                 Notes                                                                                                                            nvarchar                                                                                                                         YES        
WorkoutExercises                                                                                                                 StartTime                                                                                                                        datetime2                                                                                                                        YES        
WorkoutExercises                                                                                                                 EndTime                                                                                                                          datetime2                                                                                                                        YES        
WorkoutExercises                                                                                                                 RestPeriodSeconds                                                                                                                int                                                                                                                              YES        
WorkoutFeedbacks                                                                                                                 WorkoutFeedbackId                                                                                                                int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 SessionId                                                                                                                        int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 ClientUserId                                                                                                                     int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 FeedbackDate                                                                                                                     datetime2                                                                                                                        NO         
WorkoutFeedbacks                                                                                                                 OverallRating                                                                                                                    int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 DifficultyRating                                                                                                                 int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 EnergyLevel                                                                                                                      int                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 Comments                                                                                                                         nvarchar                                                                                                                         YES        
WorkoutFeedbacks                                                                                                                 CompletedAllExercises                                                                                                            bit                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 IncompleteReason                                                                                                                 nvarchar                                                                                                                         YES        
WorkoutFeedbacks                                                                                                                 CoachNotified                                                                                                                    bit                                                                                                                              NO         
WorkoutFeedbacks                                                                                                                 CoachViewed                                                                                                                      bit                                                                                                                              NO         
WorkoutSchedules                                                                                                                 WorkoutScheduleId                                                                                                                int                                                                                                                              NO         
WorkoutSchedules                                                                                                                 TemplateAssignmentId                                                                                                             int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 ClientUserId                                                                                                                     int                                                                                                                              NO         
WorkoutSchedules                                                                                                                 CoachUserId                                                                                                                      int                                                                                                                              NO         
WorkoutSchedules                                                                                                                 Name                                                                                                                             nvarchar                                                                                                                         NO         
WorkoutSchedules                                                                                                                 Description                                                                                                                      nvarchar                                                                                                                         YES        
WorkoutSchedules                                                                                                                 StartDate                                                                                                                        datetime2                                                                                                                        NO         
WorkoutSchedules                                                                                                                 EndDate                                                                                                                          datetime2                                                                                                                        YES        
WorkoutSchedules                                                                                                                 ScheduledDateTime                                                                                                                datetime2                                                                                                                        YES        
WorkoutSchedules                                                                                                                 IsRecurring                                                                                                                      bit                                                                                                                              NO         
WorkoutSchedules                                                                                                                 RecurrencePattern                                                                                                                nvarchar                                                                                                                         YES        
WorkoutSchedules                                                                                                                 RecurrenceDayOfWeek                                                                                                              int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 RecurrenceDayOfMonth                                                                                                             int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 SendReminder                                                                                                                     bit                                                                                                                              NO         
WorkoutSchedules                                                                                                                 ReminderHoursBefore                                                                                                              int                                                                                                                              NO         
WorkoutSchedules                                                                                                                 LastReminderSent                                                                                                                 datetime2                                                                                                                        YES        
WorkoutSchedules                                                                                                                 IsActive                                                                                                                         bit                                                                                                                              NO         
WorkoutSchedules                                                                                                                 TemplateAssignmentId1                                                                                                            int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 TemplateId                                                                                                                       int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 MultipleDaysOfWeek                                                                                                               nvarchar                                                                                                                         YES        
WorkoutSchedules                                                                                                                 LastGeneratedSessionId                                                                                                           int                                                                                                                              YES        
WorkoutSchedules                                                                                                                 LastGeneratedWorkoutDate                                                                                                         datetime2                                                                                                                        YES        
WorkoutSchedules                                                                                                                 LastGenerationStatus                                                                                                             nvarchar                                                                                                                         YES        
WorkoutSchedules                                                                                                                 TotalWorkoutsGenerated                                                                                                           int                                                                                                                              NO         
WorkoutSessions                                                                                                                  WorkoutSessionId                                                                                                                 int                                                                                                                              NO         
WorkoutSessions                                                                                                                  UserId                                                                                                                           int                                                                                                                              NO         
WorkoutSessions                                                                                                                  Name                                                                                                                             nvarchar                                                                                                                         NO         
WorkoutSessions                                                                                                                  Description                                                                                                                      nvarchar                                                                                                                         YES        
WorkoutSessions                                                                                                                  StartDateTime                                                                                                                    datetime2                                                                                                                        NO         
WorkoutSessions                                                                                                                  EndDateTime                                                                                                                      datetime2                                                                                                                        YES        
WorkoutSessions                                                                                                                  CompletedDate                                                                                                                    datetime2                                                                                                                        YES        
WorkoutSessions                                                                                                                  Duration                                                                                                                         int                                                                                                                              NO         
WorkoutSessions                                                                                                                  IsCompleted                                                                                                                      bit                                                                                                                              NO         
WorkoutSessions                                                                                                                  TemplatesUsed                                                                                                                    nvarchar                                                                                                                         YES        
WorkoutSessions                                                                                                                  WorkoutTemplateId                                                                                                                int                                                                                                                              YES        
WorkoutSessions                                                                                                                  TemplateAssignmentId                                                                                                             int                                                                                                                              YES        
WorkoutSessions                                                                                                                  StartTime                                                                                                                        datetime2                                                                                                                        YES        
WorkoutSessions                                                                                                                  IsFromCoach                                                                                                                      bit                                                                                                                              NO         
WorkoutSessions                                                                                                                  Status                                                                                                                           nvarchar                                                                                                                         YES        
WorkoutSessions                                                                                                                  WorkoutFeedbackId                                                                                                                int                                                                                                                              YES        
WorkoutSessions                                                                                                                  SessionId                                                                                                                        int                                                                                                                              YES        
WorkoutSessions                                                                                                                  IterationNumber                                                                                                                  int                                                                                                                              NO         
WorkoutSessions                                                                                                                  NextIterationId                                                                                                                  int                                                                                                                              YES        
WorkoutSessions                                                                                                                  PreviousIterationId                                                                                                              int                                                                                                                              YES        
WorkoutSets                                                                                                                      WorkoutSetId                                                                                                                     int                                                                                                                              NO         
WorkoutSets                                                                                                                      WorkoutExerciseId                                                                                                                int                                                                                                                              NO         
WorkoutSets                                                                                                                      SettypeId                                                                                                                        int                                                                                                                              YES        
WorkoutSets                                                                                                                      SequenceNum                                                                                                                      int                                                                                                                              NO         
WorkoutSets                                                                                                                      SetNumber                                                                                                                        int                                                                                                                              NO         
WorkoutSets                                                                                                                      Reps                                                                                                                             int                                                                                                                              YES        
WorkoutSets                                                                                                                      TargetMinReps                                                                                                                    int                                                                                                                              YES        
WorkoutSets                                                                                                                      TargetMaxReps                                                                                                                    int                                                                                                                              YES        
WorkoutSets                                                                                                                      Weight                                                                                                                           decimal                                                                                                                          YES        
WorkoutSets                                                                                                                      DurationSeconds                                                                                                                  int                                                                                                                              YES        
WorkoutSets                                                                                                                      Distance                                                                                                                         decimal                                                                                                                          YES        
WorkoutSets                                                                                                                      RPE                                                                                                                              int                                                                                                                              YES        
WorkoutSets                                                                                                                      RestSeconds                                                                                                                      int                                                                                                                              YES        
WorkoutSets                                                                                                                      IsCompleted                                                                                                                      bit                                                                                                                              NO         
WorkoutSets                                                                                                                      Notes                                                                                                                            nvarchar                                                                                                                         YES        
WorkoutSets                                                                                                                      Timestamp                                                                                                                        datetime2                                                                                                                        NO         
WorkoutSets                                                                                                                      Intensity                                                                                                                        int                                                                                                                              YES        
WorkoutSets                                                                                                                      Status                                                                                                                           nvarchar                                                                                                                         YES        
WorkoutSets                                                                                                                      IsWarmup                                                                                                                         bit                                                                                                                              NO         
WorkoutSets                                                                                                                      RestTime                                                                                                                         time                                                                                                                             YES        
WorkoutSets                                                                                                                      TargetReps                                                                                                                       int                                                                                                                              YES        
WorkoutSets                                                                                                                      TargetWeight                                                                                                                     decimal                                                                                                                          YES        
WorkoutSets                                                                                                                      EstimatedOneRM                                                                                                                   decimal                                                                                                                          YES        
WorkoutTemplate                                                                                                                  WorkoutTemplateId                                                                                                                int                                                                                                                              NO         
WorkoutTemplate                                                                                                                  Name                                                                                                                             nvarchar                                                                                                                         NO         
